Key,File,Type,UsedInMainMenu,NoTranslate,english,spanish,Context
TMWeaponBox,,,,,"TM - Weapon storage box","TM - Caja de almacenamiento para armas",,
TMWeaponBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMWeaponBoxDescTip_title,,,,,"TM - Weapon storage box","TM - Caja de almacenamiento para armas",,
TMWeaponBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMResourceBox,,,,,"TM - Resource storage Box","TM - Caja de almacenamiento para recursos",,
TMResourceBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMResourceBoxDescTip_title,,,,,"TM - Resource storage Box","TM - Caja de almacenamiento para recursos",,
TMResourceBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMVehicleBox,,,,,"TM - Vehicle storage box","TM - Caja de almacenamiento para vehiculos",,
TMVehicleBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMVehicleBoxDescTip_title,,,,,"TM - Vehicle storage box","TM - Caja de almacenamiento para vehiculos",,
TMVehicleBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMPartBox,,,,,"TM - Parts Storage box","TM - Caja de almacenamiento para partes",,
TMPartBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMPartBoxDescTip_title,,,,,"TM - Parts Storage box","TM - Caja de almacenamiento para partes",,
TMPartBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMModBox,,,,,"TM - Mods Storage box","TM - Caja de almacenamiento para mods",,
TMModBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMModBoxDescTip_title,,,,,"TM - Mods Storage box","TM - Caja de almacenamiento para mods",,
TMModBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMVendorBox,,,,,"TM - Storage box for items to sell","TM - Caja de almacenamiento para elementos para vender",,
TMVendorBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMVendorBoxDescTip_title,,,,,"TM - Storage box for items to sell","TM - Caja de almacenamiento para elementos para vender",,
TMVendorBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMConstructionBox,,,,,"TM - Storage box for construction materials","TM - Caja de almacenamiento para materiales de contrucción",,
TMConstructionBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMConstructionBoxDescTip_title,,,,,"TM - Storage box for construction materials","TM - Caja de almacenamiento para materiales de contrucción",,
TMConstructionBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMMagazineBox,,,,,"TM - Storage box for magazines and books","TM - Caja de almacenamiento para revistas y libros",,
TMMagazineBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMMagazineBoxDescTip_title,,,,,"TM - Storage box for magazines and books","TM - Caja de almacenamiento para revistas y libros",,
TMMagazineBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMCropBox,,,,,"TM - Storage box for growing elements","TM - Caja de almacenamiento para elementos de cultivo",,
TMCropBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMCropBoxDescTip_title,,,,,"TM - Storage box for growing elements","TM - Caja de almacenamiento para elementos de cultivo",,
TMCropBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMOtherBox,,,,,"TM - Storage box to store any item","TM - Caja de almacenamiento para guardar cualquier elemento",,
TMOtherBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMOtherBoxDescTip_title,,,,,"TM - Storage box to store any item","TM - Caja de almacenamiento para guardar cualquier elemento",,
TMOtherBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMToolBox,,,,,"TM - Storage box for storing tools","TM - Caja de almacenamiento para guardar herramientas",,
TMToolBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMToolBoxDescTip_title,,,,,"TM - Storage box for storing tools","TM - Caja de almacenamiento para guardar herramientas",,
TMToolBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMTrapBox,,,,,"TM - Storage box for storing traps","TM - Caja de almacenamiento para guardar trampas",,
TMTrapBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMTrapBoxDescTip_title,,,,,"TM - Storage box for storing traps","TM - Caja de almacenamiento para guardar trampas",,
TMTrapBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMElectricityBox,,,,,"TM - Storage box for storing electrical items","TM - Caja de almacenamiento para guardar elementos de electricidad",,
TMElectricityBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMElectricityBoxDescTip_title,,,,,"TM - Storage box for storing electrical items","TM - Caja de almacenamiento para guardar elementos de electricidad",,
TMElectricityBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMCementBox,,,,,"TM - Storage box for storing concrete mixer elements","TM - Caja de almacenamiento para guardar elementos de hormigonera",,
TMCementBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMCementBoxDescTip_title,,,,,"TM - Storage box for storing concrete mixer elements","TM - Caja de almacenamiento para guardar elementos de hormigonera",,
TMCementBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMChemistryBox,,,,,"TM - Storage box for storing chemistry elements","TM - Caja de almacenamiento para guardar elementos de quimica",,
TMChemistryBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMChemistryBoxDescTip_title,,,,,"TM - Storage box for storing chemistry elements","TM - Caja de almacenamiento para guardar elementos de quimica",,
TMChemistryBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMForgeBox,,,,,"TM - Storage box for storing forge elements","TM - Caja de almacenamiento para guardar elementos de forja",,
TMForgeBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMForgeBoxDescTip_title,,,,,"TM - Storage box for storing forge elements","TM - Caja de almacenamiento para guardar elementos de forja",,
TMForgeBoxDescTip,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
TMAbandoneBox,,,,,"TM - Abandobe Box","TM - Caja abandonada",,
TMAbandoneBoxDesc,,,,,"Storage box with larger capacity","Caja de almacenamiento con mayor capacidad",,
modTMHelmetLight,,,,,TM - Helmet Light Mod HD,TM - Modificación de casco con luz HD,,
modTMHelmetLightDesc,,,,,A light hd source that can be installed into any head armor. Use your Light Source action (F) to activate...,Una fuente de luz hd que se puede instalar en cualquier casco de armadura. Usa la acción de fuente de luz (F) para encenderla...,,
modTMHelmetLightSchematic,,,,,TM - Helmet Light Mod HD Schematic...,TM - Esquema Modificación de casco con luz HD...,,
modTMHelmetLightMed,,,,,TM - Helmet Light Mod HD Med,TM - Modificación de casco con luz HD Med,,
modTMHelmetLightMedDesc,,,,,A light hd source that can be installed into any head armor. Use your Light Source action (F) to activate...,Una fuente de luz hd que se puede instalar en cualquier casco de armadura. Usa la acción de fuente de luz (F) para encenderla...,,
modTMHelmetLightMedSchematic,,,,,TM - Helmet Light Mod HD Med Schematic...,TM - Esquema Modificación de casco con luz HD Med...,,
modTMVehicleOffRoadHeadlightsHD,,,,,TM - Vehicle Off Road Headlights HD Mod.,TM - Modificación de luces HD todo terreno para vehículos.,,
modTMVehicleOffRoadHeadlightsHDDesc,,,,,These off road headlights HD will brighten the path even on the darkest of nights.,Estas luces HD todo terreno iluminarán el camino hasta en las noches más oscuras.,,
modTMVehicleOffRoadHeadlightsHDSchematic,,,,,TM - Vehicle Off Road Headlights HD Mod Schematic.,TM - Esquema Modificación de luces HD todo terreno para vehículos.,,
modTMBikeSpeedBoost,,,,,"TM - Bicycle Speed Boost","TM - Boster para la bicicleta",,
modTMBikeSpeedBoostDesc,,,,,"Increases bicycle speed.","Aumenta la velocidad de la bicicleta.",,
modTMGunMeleeNiCdBattery,,,,,"TM - NiCd Battery Mod","TM - Modificación batería de níquel-cadmio.",,
modTMGunMeleeNiCdBatteryDesc,,,,,"A shocking addition to weapons.","Una electrificante incorporación a las armas.",,
modTMGunMeleeNiCdBatterySchematic,,,,,TM - NiCd Battery Mod Schematic.,TM - Esquema de Modificación batería de níquel-cadmio.,,
modTMBulletFire,,,,,"TM - Incendiary Bullet Mod","TM - Modificación de bala incendiaria.",,
modTMBulletFireDesc,,,,,"Briefly fire enemies.","Incendia brevemente a los enemigos.",,
modTMBulletFireSchematic,,,,,TM - Incendiary Bullet Mod Schematic.,TM - Esquema de Modificación de bala incendiaria.,,
modTMArrowFire,,,,,"TM - Incendiary Arrow Mod","TM - Modificación de flecha incendiaria.",,
modTMArrowFireDesc,,,,,"Briefly fire enemies.","Incendia brevemente a los enemigos.",,
modTMArrowFireSchematic,,,,,TM - Incendiary Arrow Mod Schematic.,TM - Esquema de Modificación de flecha incendiaria.,,
modTMArrowShock,,,,,"TM - Electric Arrow Mod","TM - Modificación de flecha electrica.",,
modTMArrowShockDesc,,,,,"Briefly electrocute enemies.","Electrocuta brevemente a los enemigos.",,
modTMArrowShockSchematic,,,,,TM - Electric Arrow Mod Schematic.,TM - Esquema de Modificación de flecha electrica.,,
ModTMTurbo,,,,,"TM - Vehicles Boost","TM - Boster para vehiculos",,
ModTMTurboDesc,,,,,"Increases vehicles speed.","Aumenta la velocidad de los vehiculos.",,
ModTMTurboSchematic,,,,,TM - Vehicle Boost Mod Schematic.,TM - Esquema de Modificación Boster para vehiculos.,,
quest_buried_supplies_response,,,,,[F1713C]Buried Supplies ([DECEA3]{treasure.distance} {treasure.direction}[-]),[F1713C]Suministros enterrados ([DECEA3]{treasure.distance} {treasure.direction}[-]),
quest_clear_response,,,,,[2196F3]Clear[-] ([DECEA3]{poi.name}[-]) ([DECEA3]{poi.distance} {poi.direction}[-]),[2196F3]Elimina a los zombis[-] ([DECEA3]{poi.name}[-]) ([DECEA3]{poi.distance} {poi.direction}[-])
quest_fetch_response,,,,,[BDBDBD]Fetch[-] ([DECEA3]{poi.name}[-]) ([DECEA3]{poi.distance} {poi.direction}[-]),[BDBDBD]Busca[-] ([DECEA3]{poi.name}[-]) ([DECEA3]{poi.distance} {poi.direction}[-])
quest_fetch_clear_response,,,,,[607D8B]Fetch[-] / [607D8B]Clear[-] ([DECEA3]{poi.name}[-]) ([DECEA3]{poi.distance} {poi.direction}[-]),[607D8B]Busca[-] / [607D8B]Limpia[-] ([DECEA3]{poi.name}[-]) ([DECEA3]{poi.distance} {poi.direction}[-])
quest_infestation_response,,,,,[8BC34A]Infested Clear[-] ([DECEA3]{poi.name}[-]) ([DECEA3]{poi.distance} {poi.direction}[-]),[8BC34A]Elimina la Infestación [-] ([DECEA3]{poi.name}[-]) ([DECEA3]{poi.distance} {poi.direction}[-])
quest_restore_power_response,,,,,[FDD835]Restore Power[-] [[F1713C]Night Only[-]] ([DECEA3]{poi.name}[-]) ([DECEA3]{poi.distance} {poi.direction}[-]),[FDD835]Restaura la potencia[-] [[F1713C]Solo durante la noche[-]] ([DECEA3]{poi.name}[-]) ([DECEA3]{poi.distance} {poi.direction}[-])
xuiPinGrab,,,,,TM - Broadcast.,TM - Transmisión.,,
xuiSkillPoints2,,,,,Skill Points,Puntos de habilidad,,
xuiTemperature,,,,,Temperature,Temperatura,,
zombieArleneIrradiationComand,,,,,Arlene [8FCE00]Irradiation [F1C232]Comand,[F1C232]Comando Arlene [8FCE00]Irradiado,,
zombieArleneElectricComand,,,,,Arlene [16537E]Electric [F1C232]Comand,[F1C232]Comando Arlene [16537E]Electrico,,
zombieArleneFireComand,,,,,Arlene [F1713C]Fire [F1C232]Comand,[F1C232]Comando Arlene [F1713C]Fuego,,
zombieMiniArleneIrradiationComand,,,,,Mini Arlene [8FCE00]Irradiation [F1C232]Comand,[F1C232]Comando Mini Arlene [8FCE00]Irradiado,,
zombieMiniArleneElectricComand,,,,,Mini Arlene [16537E]Electric [F1C232]Comand,[F1C232]Comando Mini Arlene [16537E]Electrico,,
zombieMiniArleneFireComand,,,,,Mini Arlene [FF0000]Fire [F1C232]Comand,[F1C232]Comando Mini Arlene [FF0000]Fuego,,
zombieBurntIrradiationElite,,,,,Burnt [8FCE00]Irradiation [000000]Elite,[000000]Elite Quemado [8FCE00]Irradiado,,
zombieBurntElectricElite,,,,,Burnt [16537E]Electric [000000]Elite,[000000]Elite Quemado [16537E]Electrico,,
zombieBurntFireElite,,,,,Burnt [F1713C]Fire [000000]Elite,[000000]Elite Quemado [F1713C]Fuego,,
zombieMutatedIrradiationElite,,,,,Mutated [8FCE00]Irradiation [000000]Elite,[000000]Elite Mutante [8FCE00]Irradiado,,
zombieMutatedElectricElite,,,,,Mutated [16537E]Electric [000000]Elite,[000000]Elite Mutante [16537E]Electrico,,
zombieMutatedFireElite,,,,,Mutated [F1713C]Fire [000000]Elite,[000000]Elite Mutante [F1713C]Fuego,,
zombieWightIrradiationElite,,,,,Wight [8FCE00]Irradiation [000000]Elite,[000000]Elite Espectro [8FCE00]Irradiado,,
zombieWightElectricElite,,,,,Wight [16537E]Electric [000000]Elite,[000000]Elite Espectro [16537E]Electrico,,
zombieWightFireElite,,,,,Wight [F1713C]Fire [000000]Elite,[000000]Elite Espectro [F1713C]Fuego,,
zombieLumberjackIrradiationElite,,,,,Lumberjack [8FCE00]Irradiation [000000]Elite,[000000]Elite Leñador [8FCE00]Irradiado,,
zombieLumberjackElectricElite,,,,,Lumberjack [16537E]Electric [000000]Elite,[000000]Elite Leñador [16537E]Electrico,,
zombieLumberjackFireElite,,,,,Lumberjack [F1713C]Fire [000000]Elite,[000000]Elite Leñador [F1713C]Fuego,,
animalZombieVultureElite,,,,,[8FCE00]Radiated Vulture [000000]Elite,[000000]Elite Buitre [8FCE00]Irradiado,,
animalChickenHostileIrradiationElite,,,,,Chicken [8FCE00]Irradiation [8E7CC3]Elite,[8E7CC3]Elite Gallina [8FCE00]Irradiada,,
animalChickenHostileElectricElite,,,,,Chicken [16537E]Electric [8E7CC3]Elite,[8E7CC3]Elite Gallina [16537E]Electrica,,
animalChickenHostileFireElite,,,,,Chicken [FF0000]Fire [8E7CC3]Elite,[8E7CC3]Elite Gallina [FF0000]Fuego,,
animalDireWolfIrradiationElite,,,,,Dire Wolf [8FCE00]Irradiation [8E7CC3]Elite,[8E7CC3]Elite Lobo gigante [8FCE00]Irradiado,,
animalDireWolfElectricElite,,,,,Dire Wolf [16537E]Electric [8E7CC3]Elite,[8E7CC3]Elite Lobo gigante [16537E]Electrico,,
animalDireWolfFireElite,,,,,Dire Wolf [FF0000]Fire [8E7CC3]Elite,[8E7CC3]Elite Lobo gigante [FF0000]Fuego,,
zombieDemolitionIrradiationGeneral,,,,,Demolition [8FCE00]Irradiation [8E7CC3]General,[8E7CC3]General Demoledor [8FCE00]Irradiado,,
zombieDemolitionElectricGeneral,,,,,Demolition [16537E]Electric [8E7CC3]General,[8E7CC3]General Demoledor [16537E]Electrico,,
zombieDemolitionFireGeneral,,,,,Demolition [FF0000]Fire [8E7CC3]General,[8E7CC3]General Demoledor [FF0000]Fuego,,
animalInsectSwarmIrradiation,,,,,"Insect Swarm [8FCE00]Irradiation","Enjambre de insectos [8FCE00]irradiado",,
animalInsectSwarmElectric,,,,,"Insect Swarm [16537E]Electric","Enjambre de insectos [16537E]electricos",,
animalInsectSwarmFire,,,,,"Insect Swarm [FF0000]Fire","Enjambre de insectos de [FF0000]fuego",,
zombiePlagueSpitterIrradiation,,,,,"Plague Spitter [8FCE00]Irradiation","Escupeplagas [8FCE00]Irradiado",,
zombiePlagueSpitterElectric,,,,,"Plague Spitter [16537E]Electric","Escupeplagas [16537E]Electrico",,
zombiePlagueSpitterFire,,,,,"Plague Spitter [FF0000]Fire","Escupeplagas [FF0000]Fuego",,
zombiePlagueSpitterIrradiationO,,,,,"Plague Spitter [8FCE00]Irradiation","Escupeplagas [8FCE00]Irradiado",,
zombiePlagueSpitterElectricO,,,,,"Plague Spitter [16537E]Electric","Escupeplagas [16537E]Electrico",,
zombiePlagueSpitterFireO,,,,,"Plague Spitter [FF0000]Fire","Escupeplagas [FF0000]Fuego",,
zombieFrostclawIrradiation,,,,,"Frostclaw [8FCE00]Irradiation","Garrahelada [8FCE00]Irradiado",,
zombieFrostclawElectric,,,,,"Frostclaw [16537E]Electric","Garrahelada [16537E]Electrico",,
zombieFrostclawFire,,,,,"Frostclaw [FF0000]Fire","Garrahelada [FF0000]Fuego",,
zombieFrostclawIrradiationO,,,,,"Frostclaw [8FCE00]Irradiation","Garrahelada [8FCE00]Irradiado",,
zombieFrostclawElectricO,,,,,"Frostclaw [16537E]Electric","Garrahelada [16537E]Electrico",,
zombieFrostclawFireO,,,,,"Frostclaw [FF0000]Fire","Garrahelada [FF0000]Fuego",,
perkTurretsRank5LongDesc,,,,,"You are now a top expert in robotics. Reload robotic weapons 20% faster and reload an extra 50 rounds. Robot active range is 18 meters.\nTree deployed robots can be active at once.","Ahora eres especialista en robótica. Recarga las armas robóticas un 20 % más rápido y recarga 50 balas adicionales. El alcance activo de los robots es de 18 metros.\nTres robots desplegados pueden estar activos al mismo tiempo.",,
AreaName,,,,,"\nCrafted in","\nSe fabrica en",,
RepairWithName,,,,,"\nRepair with","\nSe repara con",,
LootRespawnDays,,,,,"[06d406]Loot restoration on day {0} at {1}:00","[06d406]Restauración del loot el día {0} a las {1}:00",,
TMbarbedWireSpindle1m,,,,,"TM - short concertina trap","TM - Trampa de concertina corta",,
TMbarbedWireSpindle,,,,,"TM - long concertina trap","TM - Trampa de concertina larga",,
TMbarbedWireSpindleDesc,,,,,"Concertina trap, doesn't do much damage","Trampa de concertina, no hace mucho daño",,
ttPlayerStorageNotEmpty,,,,,You must empty the storage before picking it up.,Debes vaciar el almacenamiento antes de recogerlo.,,

TwitchAction_SpawnTmArlene,,,,,TM Command,TM Comando,,
TwitchAction_SpawnTmArleneCommand,,,,,#spawn_tm_command,#aparición_tm_comando
TwitchAction_SpawnTmArleneDesc,,,,,Spawns a single Arlene commands zombie.,Aparece una sola zombi arlene commando.,,
TwitchAction_SpawnTmBurn,,,,,TM Burn,TM Quemado,,
TwitchAction_SpawnTmBurnCommand,,,,,#spawn_tm_burn,#aparición_tm_quemado,,
TwitchAction_SpawnTmBurnDesc,,,,,Spawns a single Burn zombie.,Aparece una zombi quemado.,,
TwitchAction_SpawnTmLumberjack,,,,,TM Lumberjack,TM Leñador,,
TwitchAction_SpawnTmLumberjackCommand,,,,,#spawn_tm_lumberjack,#aparición_tm_leñador,,
TwitchAction_SpawnTmLumberjackDesc,,,,,Spawns a single Lumberjack zombie.,Aparece una zombi leñador.,,
TwitchAction_SpawnTmGeneral,,,,,TM General,TM General,,
TwitchAction_SpawnTmGeneralCommand,,,,,#spawn_tm_general,#aparición_tm_general,,
TwitchAction_SpawnTmGeneralDesc,,,,,Spawns a single Demolition general zombie.,Aparece una zombi demoledor general.,,
TwitchAction_SpawnTmMutated,,,,,TM Mutated,TM Mutantes,,
TwitchAction_SpawnTmMutatedCommand,,,,,#spawn_tm_mutated,#aparición_tm_mutante,,
TwitchAction_SpawnTmMutatedDesc,,,,,Spawns a single Mutated zombie.,Aparece una zombi mutante.,,
TwitchAction_SpawnTmWight,,,,,TM Wight,TM Mutantes,,
TwitchAction_SpawnTmWightCommand,,,,,#spawn_tm_Wight,#aparición_tm_criatura,,
TwitchAction_SpawnTmWightDesc,,,,,Spawns a single Wight zombie.,Aparece una zombi criatura.,,
TwitchAction_SpawnTmSwarm,,,,,TM Swarm,TM Enjambre de insectos,,
TwitchAction_SpawnTmSwarmCommand,,,,,#spawn_tm_swarm,#aparición_tm_enjambre,,
TwitchAction_SpawnTmSwarmDesc,,,,,Spawns a tree Insect Swarm.,Aparecen 3 enjambres de insectos,,
TwitchAction_SpawnTmPlague,,,,,TM Plague Spitter,TM Escupeplagas,,
TwitchAction_SpawnTmPlagueCommand,,,,,#spawn_tm_plague,#aparición_tm_escupeplagas,,
TwitchAction_SpawnTmPlagueDesc,,,,,Spawns a single plague zombie.,Aparece una zombi Escupeplagas.,,
TwitchAction_SpawnTmFrost,,,,,TM Frost Claw,TM Garrahelada,,
TwitchAction_SpawnTmFrostCommand,,,,,#spawn_tm_Frost,#aparición_tm_garrahelada,,
TwitchAction_SpawnTmFrostDesc,,,,,Spawns a single Frost Claw zombie.,Aparece una zombi Garrahelada.,,
