Key,File,Type,UsedInMainMenu,NoTranslate,english,spanish,Context
questRadialHard13_name,,,,,"Elite Wight","Criatura Elite",,
questRadialHard14_name,,,,,"Elite Super Cop","Super Policia Elite",,
questRadialHard15_name,,,,,"Elite Super Biker","Super Motero ELite",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
questRadialHard1_subtitle,,,,,"Commandos Arlene","Arlene Comando",,
questRadialHard2_subtitle,,,,,"Commandos Screamer","Gritona Comando",,
questRadialHard3_subtitle,,,,,"Commandos Arlene (horde)","Arlene Comando (horda)",,
questRadialHard4_subtitle,,,,,"Commandos General (horde)","General Comando (horda)",,
questRadialHard5_subtitle,,,,,"Elite Burnt","Quemado Elite",,
questRadialHard6_subtitle,,,,,"Elite Tom6K","Tom6K Elite",,
questRadialHard7_subtitle,,,,,"Irradiation Wolf","Lobo Irradiado",,
questRadialHard8_subtitle,,,,,"Irradiation Vulture","Buitre Irradiado",,
questRadialHard9_subtitle,,,,,"Elite Rancher","Ranchero Elite",,
questRadialHard10_subtitle,,,,,"Elite Lumberjack","Leñador Elite",,
questRadialHard11_subtitle,,,,,"Elite Chuck","Quemado Chuck",,
questRadialHard12_subtitle,,,,,"Elite Mutated","Mutante Elite",,
questRadialHard13_subtitle,,,,,"Elite Wight","Criatura Elite",,
questRadialHard14_subtitle,,,,,"Elite Super Cop","Super Policia Elite",,
questRadialHard15_subtitle,,,,,"Elite Super Biker","Super Motero ELite",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
quest_radial_hard1_subtitle,,,,,"Kill zombies","Elimina zombis",,
quest_radial_hard2_subtitle,,,,,"Kill zombies","Elimina zombis",,
quest_radial_hard3_subtitle,,,,,"Kill zombies","Elimina zombis",,
quest_radial_hard4_subtitle,,,,,"Kill zombies","Elimina zombis",,
quest_radial_hard5_subtitle,,,,,"Kill zombies","Elimina zombis",,
quest_radial_hard6_subtitle,,,,,"Kill zombies","Elimina zombis",,
quest_radial_hard7_subtitle,,,,,"Kill zombies","Elimina zombis",,
quest_radial_hard8_subtitle,,,,,"Kill zombies","Elimina zombis",,
quest_radial_hard9_subtitle,,,,,"Kill zombies","Elimina zombis",,
quest_radial_hard10_subtitle,,,,,"Kill zombies","Elimina zombis",,
quest_radial_hard11_subtitle,,,,,"Kill zombies","Elimina zombis",,
quest_radial_hard12_subtitle,,,,,"Kill zombies","Elimina zombis",,
quest_radial_hard13_subtitle,,,,,"Kill zombies","Elimina zombis",,
quest_radial_hard14_subtitle,,,,,"Kill zombies","Elimina zombis",,
quest_radial_hard15_subtitle,,,,,"Kill zombies","Elimina zombis",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
quest_radialHard1Desc,,,,,"Army Petition","Petición del Ejercito",,
quest_radialHard2Desc,,,,,"Army Petition","Petición del Ejercito",,
quest_radialHard3Desc,,,,,"Army Petition","Petición del Ejercito",,
quest_radialHard4Desc,,,,,"Army Petition","Petición del Ejercito",,
quest_radialHard5Desc,,,,,"Army Petition","Petición del Ejercito",,
quest_radialHard6Desc,,,,,"Army Petition","Petición del Ejercito",,
quest_radialHard7Desc,,,,,"Army Petition","Petición del Ejercito",,
quest_radialHard8Desc,,,,,"Army Petition","Petición del Ejercito",,
quest_radialHard9Desc,,,,,"Army Petition","Petición del Ejercito",,
quest_radialHard10Desc,,,,,"Army Petition","Petición del Ejercito",,
quest_radialHard11Desc,,,,,"Army Petition","Petición del Ejercito",,
quest_radialHard12Desc,,,,,"Army Petition","Petición del Ejercito",,
quest_radialHard13Desc,,,,,"Army Petition","Petición del Ejercito",,
quest_radialHard14Desc,,,,,"Army Petition","Petición del Ejercito",,
quest_radialHard15Desc,,,,,"Army Petition","Petición del Ejercito",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
quest_radial_hard1_desc,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Arlene commandos, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Arlene comando ya sean irradiadas, de fuego o electricas.",,
quest_radial_hard2_desc,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Screamer commandos, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Gritonas comando ya sean irradiadas, de fuego o electricas.",,
quest_radial_hard3_desc,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Arlene commandos, whether they're irradiated, fired, or electric. (Only during the horde)","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Arlene comando ya sean irradiadas, de fuego o electricas. (solo durante la horda)",,
quest_radial_hard4_desc,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of General commandos, whether they're irradiated, fired, or electric. (Only during the horde)","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de General comando ya sean irradiados, de fuego o electricos. (solo durante la horda)",,
quest_radial_hard5_desc,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Burn, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Quemado Elite ya sean irradiados, de fuego o electricos.",,
quest_radial_hard6_desc,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Tom6K, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Tom6K Elite ya sean irradiados, de fuego o electricos.",,
quest_radial_hard7_desc,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Dire Wolf, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Lobos gigantes Elite ya sean irradiados, de fuego o electricos.",,
quest_radial_hard8_desc,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Vulture, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Buitres gigantes Elite ya sean irradiados, de fuego o electricos.",,
quest_radial_hard9_desc,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Rancher, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Ranchero Elite ya sean irradiados, de fuego o electricos.",,
quest_radial_hard10_desc,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Lumberjack, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Leñador Elite ya sean irradiados, de fuego o electricos.",,
quest_radial_hard11_desc,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Chuck, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Chuck Elite ya sean irradiados, de fuego o electricos.",,
quest_radial_hard12_desc,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Mutated, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Mutante Elite ya sean irradiados, de fuego o electricos.",,
quest_radial_hard13_desc,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Wight, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Criatura Elite ya sean irradiados, de fuego o electricos.",,
quest_radial_hard14_desc,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Super Cop, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Super Policia Elite ya sean irradiados, de fuego o electricos.",,
quest_radial_hard15_desc,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Super Biker, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Super Motero Elite ya sean irradiados, de fuego o electricos.",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
name,,,,,"English","Spanish",,
quest_radial_hard1_offer,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Arlene commandos, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Arlene comando ya sean irradiadas, de fuego o electricas.",,
quest_radial_hard2_offer,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Screamer commandos, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Gritonas comando ya sean irradiadas, de fuego o electricas.",,
quest_radial_hard3_offer,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Arlene commandos, whether they're irradiated, fired, or electric. (Only during the horde)","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Arlene comando ya sean irradiadas, de fuego o electricas. (solo durante la horda)",,
quest_radial_hard4_offer,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of General commandos, whether they're irradiated, fired, or electric. (Only during the horde)","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de General comando ya sean irradiados, de fuego o electricos. (solo durante la horda)",,
quest_radial_hard5_offer,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Burn, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Quemado Elite ya sean irradiados, de fuego o electricos.",,
quest_radial_hard6_offer,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Tom6K, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Tom6K Elite ya sean irradiados, de fuego o electricos.",,
quest_radial_hard7_offer,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Dire Wolf, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Lobos gigantes Elite ya sean irradiados, de fuego o electricos.",,
quest_radial_hard8_offer,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Vulture, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Buitres gigantes Elite ya sean irradiados, de fuego o electricos.",,
quest_radial_hard9_offer,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Rancher, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Ranchero Elite ya sean irradiados, de fuego o electricos.",,
quest_radial_hard10_offer,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Lumberjack, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Leñador Elite ya sean irradiados, de fuego o electricos.",,
quest_radial_hard11_offer,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Chuck, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Chuck Elite ya sean irradiados, de fuego o electricos.",,
quest_radial_hard12_offer,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Mutated, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Mutante Elite ya sean irradiados, de fuego o electricos.",,
quest_radial_hard13_offer,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Wight, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Criatura Elite ya sean irradiados, de fuego o electricos.",,
quest_radial_hard14_offer,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Super Cop, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Super Policia Elite ya sean irradiados, de fuego o electricos.",,
quest_radial_hard15_offer,,,,,"This is for professionals only. \n\nThe army is offering a hefty reward for taking down a group of those tricky zombies. \n\nEliminate a group of Elite Super Biker, whether they're irradiated, fired, or electric.","Esto es solo para profesionales. \n\nEl ejercito ofrece una gran recompensa por acabar con un grupo de esos zombis tan complicados. \n\nAcaba con un grupo de Super Motero Elite ya sean irradiados, de fuego o electricos.",,







